text,true_topic
프로야구 선발 투수가 무실점 호투로 팀의 연승을 이끌었다. 감독은 젊은 선수들의 수비 집중력이 승부를 갈랐다고 평가했다.,스포츠
축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다. 리그 선두 팀은 원정 경기 승리로 플레이오프 진출을 확정했다.,스포츠
농구 챔피언결정전에서 주전 가드가 득점과 도움을 모두 책임졌다. 프로야구 선발 투수가 무실점 호투로 팀의 연승을 이끌었다.,스포츠
감독은 젊은 선수들의 수비 집중력이 승부를 갈랐다고 평가했다. 축구 대표팀은 후반 추가 시간 결승골로 극적인 승리를 거뒀다.,스포츠
리그 선두 팀은 원정 경기 승리로 플레이오프 진출을 확정했다. 농구 챔피언결정전에서 주전 가드가 득점과 도움을 모두 책임졌다.,스포츠
생성형 인공지능 서비스가 문서 작성과 고객 상담 업무에 도입됐다. 국내 연구진이 초거대 언어모델의 추론 속도를 개선하는 기법을 발표했다.,기술
클라우드 기업들은 데이터센터 전력 효율을 높이기 위한 칩을 개발하고 있다. 스마트폰 신제품은 온디바이스 AI 기능과 카메라 성능을 강조했다.,기술
자율주행 소프트웨어 업데이트 이후 도심 주행 안정성이 향상됐다. 생성형 인공지능 서비스가 문서 작성과 고객 상담 업무에 도입됐다.,기술
국내 연구진이 초거대 언어모델의 추론 속도를 개선하는 기법을 발표했다. 클라우드 기업들은 데이터센터 전력 효율을 높이기 위한 칩을 개발하고 있다.,기술
스마트폰 신제품은 온디바이스 AI 기능과 카메라 성능을 강조했다. 자율주행 소프트웨어 업데이트 이후 도심 주행 안정성이 향상됐다.,기술
생성형 인공지능 서비스가 문서 작성과 고객 상담 업무에 도입됐다. 스마트폰 신제품은 온디바이스 AI 기능과 카메라 성능을 강조했다.,기술
국내 연구진이 초거대 언어모델의 추론 속도를 개선하는 기법을 발표했다. 자율주행 소프트웨어 업데이트 이후 도심 주행 안정성이 향상됐다.,기술
클라우드 기업들은 데이터센터 전력 효율을 높이기 위한 칩을 개발하고 있다. 생성형 인공지능 서비스가 문서 작성과 고객 상담 업무에 도입됐다.,기술
스마트폰 신제품은 온디바이스 AI 기능과 카메라 성능을 강조했다. 국내 연구진이 초거대 언어모델의 추론 속도를 개선하는 기법을 발표했다.,기술
자율주행 소프트웨어 업데이트 이후 도심 주행 안정성이 향상됐다. 클라우드 기업들은 데이터센터 전력 효율을 높이기 위한 칩을 개발하고 있다.,기술
국회는 민생 법안을 두고 여야 협상을 이어갔지만 합의에 이르지 못했다. 정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다.,정치
대통령은 국무회의에서 규제 완화와 산업 경쟁력 강화를 주문했다. 선거관리위원회는 후보자 토론 일정과 투표 절차를 공지했다.,정치
여야 지도부는 예산안 처리를 두고 막판 협상에 들어갔다. 국회는 민생 법안을 두고 여야 협상을 이어갔지만 합의에 이르지 못했다.,정치
정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다. 대통령은 국무회의에서 규제 완화와 산업 경쟁력 강화를 주문했다.,정치
선거관리위원회는 후보자 토론 일정과 투표 절차를 공지했다. 여야 지도부는 예산안 처리를 두고 막판 협상에 들어갔다.,정치
국회는 민생 법안을 두고 여야 협상을 이어갔지만 합의에 이르지 못했다. 대통령은 국무회의에서 규제 완화와 산업 경쟁력 강화를 주문했다.,정치
정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다. 선거관리위원회는 후보자 토론 일정과 투표 절차를 공지했다.,정치
여야 지도부는 예산안 처리를 두고 막판 협상에 들어갔다. 정부는 지방 재정 지원 확대와 행정 개편 방안을 발표했다.,정치
대통령은 국무회의에서 규제 완화와 산업 경쟁력 강화를 주문했다. 여야 지도부는 예산안 처리를 두고 막판 협상에 들어갔다.,정치
선거관리위원회는 후보자 토론 일정과 투표 절차를 공지했다. 국회는 민생 법안을 두고 여야 협상을 이어갔지만 합의에 이르지 못했다.,정치
보건 당국은 독감 환자 증가에 따라 고위험군 백신 접종을 권고했다. 대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다.,건강
응급실 과밀 문제를 줄이기 위해 지역 의료 전달 체계가 개편된다. 전문가들은 수면 부족과 스트레스가 심혈관 질환 위험을 높인다고 설명했다.,건강
식약처는 신약 허가 심사 절차와 안전성 검증 기준을 강화했다. 보건 당국은 독감 환자 증가에 따라 고위험군 백신 접종을 권고했다.,건강
대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다. 응급실 과밀 문제를 줄이기 위해 지역 의료 전달 체계가 개편된다.,건강
전문가들은 수면 부족과 스트레스가 심혈관 질환 위험을 높인다고 설명했다. 식약처는 신약 허가 심사 절차와 안전성 검증 기준을 강화했다.,건강
보건 당국은 독감 환자 증가에 따라 고위험군 백신 접종을 권고했다. 전문가들은 수면 부족과 스트레스가 심혈관 질환 위험을 높인다고 설명했다.,건강
대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다. 식약처는 신약 허가 심사 절차와 안전성 검증 기준을 강화했다.,건강
응급실 과밀 문제를 줄이기 위해 지역 의료 전달 체계가 개편된다. 보건 당국은 독감 환자 증가에 따라 고위험군 백신 접종을 권고했다.,건강
전문가들은 수면 부족과 스트레스가 심혈관 질환 위험을 높인다고 설명했다. 대학병원 연구팀은 새로운 항암 치료제의 임상 결과를 공개했다.,건강
식약처는 신약 허가 심사 절차와 안전성 검증 기준을 강화했다. 응급실 과밀 문제를 줄이기 위해 지역 의료 전달 체계가 개편된다.,건강
